# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Normal force coefficient (​),Damping moment coefficient (​),Corrective moment Coefficient ()
0,0,0,0,0,90,0,2943.645,0.327,NaN,67.547,NaN,0,0,0.664,NaN,NaN,NaN
0.01,8.852e-4,0.282,0.282,62.925,86.747,0,2942.555,0.327,NaN,67.536,NaN,213.993,2.097e-5,0.664,NaN,NaN,NaN
0.016,0.004,0.79,0.79,106.585,80.902,0,2941.901,0.327,NaN,67.529,NaN,342.389,4.353e-4,0.664,NaN,0.136,NaN
0.025,0.015,1.731,1.731,102.317,70.544,0,2940.068,0.326,NaN,67.511,NaN,329.629,0.004,0.661,NaN,0.12,NaN
0.035,0.038,2.73,2.73,97.566,60.665,0,2938.032,0.326,NaN,67.49,NaN,315.452,0.014,0.654,NaN,0.137,NaN
0.045,0.07,3.682,3.682,92.806,52.615,0,2935.996,0.326,NaN,67.469,NaN,301.274,0.029,0.647,NaN,0.142,NaN
0.048,0.081,3.958,3.958,91.376,50.528,0,2935.385,0.326,NaN,67.463,NaN,297.021,0.035,0.645,NaN,0.152,NaN
0.052,0.1,4.37,4.37,91.869,47.759,0,2934.507,0.326,NaN,67.454,NaN,298.388,0.044,0.642,NaN,0.261,NaN
0.059,0.132,4.993,4.993,92.609,44.18,0,2933.189,0.326,NaN,67.441,NaN,300.439,0.06,0.636,NaN,0.287,NaN
0.069,0.186,5.925,5.925,93.704,39.651,0,2931.236,0.326,NaN,67.421,NaN,303.477,0.088,0.628,NaN,0.313,NaN
0.079,0.25,6.867,6.867,94.799,35.885,0,2929.283,0.325,NaN,67.401,NaN,306.515,0.121,0.621,NaN,0.34,NaN
0.089,0.324,7.821,7.821,95.894,32.728,0,2927.331,0.325,NaN,67.381,NaN,309.552,0.158,0.614,NaN,0.368,NaN
0.099,0.407,8.785,8.785,96.989,30.06,0,2925.378,0.325,NaN,67.362,NaN,312.59,0.199,0.608,NaN,0.397,NaN
0.111,0.517,9.932,9.932,98.275,26.813,0,2923.084,0.325,NaN,67.338,NaN,316.16,0.253,0.601,NaN,0.422,NaN
0.121,0.621,10.918,10.918,98.999,24.42,0,2921.032,0.325,NaN,67.317,NaN,318.104,0.303,0.596,NaN,0.442,NaN
0.13,0.725,11.828,11.828,99.662,22.503,0,2919.152,0.324,NaN,67.298,NaN,319.884,0.354,0.596,NaN,0.464,NaN
0.139,0.828,12.673,12.673,100.273,20.931,0,2917.418,0.324,NaN,67.28,NaN,321.527,0.403,0.596,NaN,0.485,NaN
0.147,0.932,13.467,13.467,100.844,19.61,0,2915.799,0.324,NaN,67.263,NaN,323.061,0.452,0.596,NaN,0.505,NaN
0.154,1.034,14.218,14.218,101.38,18.544,0,2914.275,0.324,76.999,67.248,1.238,324.504,0.499,0.596,5.786,0.525,1.013
0.161,1.134,14.912,14.912,101.875,17.66,2.088,2912.872,0.324,77.225,67.233,1.269,325.833,0.545,0.596,5.427,0.542,1.125
0.167,1.23,15.553,15.553,102.328,16.906,4.167,2911.584,0.324,77.425,67.22,1.296,327.053,0.589,0.596,5.126,0.559,1.233
0.173,1.324,16.164,16.164,102.759,16.234,6.259,2910.362,0.323,77.61,67.208,1.321,328.211,0.63,0.596,4.864,0.576,1.341
0.179,1.421,16.77,16.77,102.743,15.609,8.303,2909.131,0.323,77.788,67.195,1.345,328.067,0.672,0.596,4.623,0.591,1.453
0.185,1.518,17.351,17.351,102.727,15.045,10.343,2907.951,0.323,77.954,67.183,1.368,327.929,0.713,0.596,4.409,0.607,1.565
0.19,1.613,17.909,17.909,102.712,14.532,12.379,2906.816,0.323,78.109,67.171,1.389,327.796,0.753,0.596,4.218,0.622,1.677
0.195,1.709,18.448,18.448,102.697,14.061,14.412,2905.72,0.323,78.255,67.16,1.409,327.668,0.791,0.596,4.044,0.642,1.789
0.202,1.836,19.143,19.143,102.678,13.525,17.134,2904.306,0.323,78.425,67.145,1.433,327.502,0.843,0.596,3.85,0.657,1.938
