# Time (s), ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), α1 (rad/s²), α2 (rad/s²), α3 (rad/s²), Vx (m/s), Vy (m/s), Vz (m/s), X (m), Y (m), Z (m), e0, e1, e2, e3
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,223.997955,0.999048,-0.043619,0.000000,0.000000
0.001438,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000086,0.000981,0.000000,0.000000,223.997957,0.999048,-0.043619,0.000000,0.000000
0.001876,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000233,0.002668,0.000000,0.000000,223.997958,0.999048,-0.043619,0.000000,-0.000000
0.002314,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000503,0.005745,-0.000000,0.000000,223.997960,0.999048,-0.043619,0.000000,-0.000000
0.003190,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.001284,0.014675,-0.000000,0.000001,223.997969,0.999048,-0.043619,0.000000,0.000000
0.004065,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.002551,0.029162,-0.000000,0.000003,223.997989,0.999048,-0.043619,0.000000,-0.000000
0.004941,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.004305,0.049204,0.000000,0.000006,223.998023,0.999048,-0.043619,-0.000000,0.000000
0.013700,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.048585,0.555324,-0.000000,0.000200,224.000244,0.999048,-0.043619,-0.000000,0.000000
0.015451,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.063278,0.723272,0.000000,0.000298,224.001364,0.999048,-0.043619,-0.000000,0.000000
0.016770,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.075285,0.860508,0.000000,0.000390,224.002409,0.999048,-0.043619,0.000000,-0.000000
0.018089,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.087464,0.999719,0.000000,0.000497,224.003636,0.999048,-0.043619,0.000000,0.000000
0.019408,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.099572,1.138109,-0.000000,0.000620,224.005046,0.999048,-0.043619,-0.000000,0.000000
0.022047,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.123571,1.412424,0.000000,0.000915,224.008410,0.999048,-0.043619,0.000000,0.000000
0.024685,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.147283,1.683452,-0.000000,0.001272,224.012494,0.999048,-0.043619,-0.000000,0.000000
0.027323,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.170707,1.951191,-0.000000,0.001691,224.017288,0.999048,-0.043619,0.000000,0.000000
0.032160,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.212907,2.433539,0.000000,0.002619,224.027892,0.999048,-0.043619,0.000000,0.000000
0.036997,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.254138,2.904809,0.000000,0.003749,224.040803,0.999048,-0.043619,-0.000000,0.000000
0.041834,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.294398,3.364990,0.000000,0.005075,224.055967,0.999048,-0.043619,0.000000,-0.000000
0.051508,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.372728,4.260305,-0.000000,0.008306,224.092889,0.999048,-0.043619,0.000000,-0.000000
0.061182,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.450318,5.147163,-0.000000,0.012287,224.138399,0.999048,-0.043619,-0.000000,0.000000
0.068537,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.510115,5.830642,-0.000000,0.015819,224.178762,0.999048,-0.043619,0.000000,-0.000000
0.075891,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.570412,6.519837,0.000000,0.019792,224.224175,0.999048,-0.043619,0.000000,0.000000
0.083246,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.631226,7.214951,-0.000000,0.024210,224.274679,0.999048,-0.043619,0.000000,0.000000
0.090600,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.692559,7.915986,0.000000,0.029078,224.330316,0.999048,-0.043619,0.000000,0.000000
0.105310,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.816779,9.335827,-0.000000,0.040176,224.457168,0.999048,-0.043619,0.000000,-0.000000
0.120019,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.942894,10.777326,0.000000,0.053115,224.605066,0.999048,-0.043619,-0.000000,0.000000
0.134728,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,1.070503,12.235904,0.000000,0.067921,224.774299,0.999048,-0.043619,0.000000,0.000000
0.149437,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,1.199460,13.709894,0.000000,0.084614,224.965101,0.999048,-0.043619,-0.000000,-0.000000
0.170125,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.383147,15.809447,-0.000000,0.111328,225.270438,0.999048,-0.043619,0.000000,0.000000
0.183246,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.500618,17.152140,-0.000000,0.130247,225.486684,0.999048,-0.043619,0.000000,0.000000
0.196367,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.618173,18.495797,0.000000,0.150708,225.720553,0.999048,-0.043619,0.000000,0.000000
0.209488,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.735597,19.837965,-0.000000,0.172710,225.972044,0.999048,-0.043619,-0.000000,0.000000
0.231435,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,1.931395,22.075941,-0.000000,0.212952,226.432010,0.999048,-0.043619,0.000000,-0.000000
0.253383,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,2.126120,24.301662,-0.000000,0.257480,226.940966,0.999048,-0.043619,0.000000,-0.000000
0.275330,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,2.319578,26.512901,0.000000,0.306268,227.498615,0.999048,-0.043619,-0.000000,0.000000
0.297277,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,2.511233,28.703526,0.000000,0.359283,228.104580,0.999048,-0.043619,-0.000000,0.000000
0.328002,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,2.776222,31.732361,0.000000,0.440521,229.033137,0.999048,-0.043619,-0.000000,-0.000000
0.332541,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.815038,32.176028,-0.000000,0.453210,229.178168,0.999048,-0.043619,0.000000,0.000000
0.333822,0.002233,-0.000950,0.000221,1.742947,-0.741712,0.172564,0.000450,2.828128,32.300863,0.000001,0.456833,229.219546,0.999048,-0.043618,-0.000001,0.000000
0.335103,0.004471,-0.001903,0.000442,1.747072,-0.743972,0.172338,0.000902,2.841218,32.425667,0.000002,0.460473,229.261085,0.999048,-0.043615,-0.000002,0.000001
0.337665,0.008957,-0.003815,0.000883,1.755103,-0.748414,0.171871,0.001808,2.867402,32.675275,0.000005,0.467785,229.344482,0.999049,-0.043607,-0.000005,0.000002
0.340227,0.013464,-0.005738,0.001323,1.762731,-0.752707,0.171384,0.002718,2.893592,32.924885,0.000011,0.475166,229.428518,0.999049,-0.043592,-0.000011,0.000003
0.342789,0.017989,-0.007672,0.001761,1.769944,-0.756844,0.170880,0.003630,2.919786,33.174495,0.000019,0.482613,229.513194,0.999050,-0.043572,-0.000020,0.000006
0.363665,0.055428,-0.023776,0.005281,1.811741,-0.784110,0.166167,0.010956,3.132854,35.208365,0.000171,0.545789,230.226962,0.999067,-0.043190,-0.000182,0.000049
0.384541,0.093381,-0.040311,0.008693,1.818578,-0.797748,0.160586,0.017461,3.343805,37.242393,0.000469,0.613395,230.983189,0.999100,-0.042415,-0.000512,0.000137
0.405416,0.131055,-0.056961,0.011982,1.783885,-0.794688,0.154411,0.022230,3.550510,39.276660,0.000887,0.685364,231.781881,0.999148,-0.041244,-0.001015,0.000267
0.426292,0.167518,-0.073348,0.015138,1.701517,-0.771935,0.147893,0.024309,3.750772,41.311233,0.001377,0.761585,232.623043,0.999211,-0.039686,-0.001688,0.000438
